,Divisive,RW Update,ROI
rACC,0.211840962965,0.196468667024,rACC
dACC,0.227753042151,0.213447376896,dACC
vlPFC,0.188056410394,0.175648793147,vlPFC
vmPFC,0.164837094918,0.151645139204,vmPFC
OFCant,0.140601031172,0.134403217521,OFCant
OFClat,0.15238697809,0.148802678224,OFClat
OFCmed,0.168759203736,0.161974788868,OFCmed
OFCpost,0.212697380438,0.199347091802,OFCpost
dmPFC,0.16317949574,0.150746511682,dmPFC
dlPFC,0.158827914555,0.149289566024,dlPFC
MFG,0.16423579471,0.15769508009,MFG
IFG,0.190338458093,0.184543151089,IFG
