,Divide Mean,Running Average,ROI
rACC,0.202805664056,0.17816026828,rACC
dACC,0.216745821984,0.189028795001,dACC
vlPFC,0.180751869,0.16027567726,vlPFC
vmPFC,0.156911764728,0.138574992634,vmPFC
OFCant,0.140325683398,0.128715282187,OFCant
OFClat,0.152742660534,0.140141777598,OFClat
OFCmed,0.169536427492,0.155687514988,OFCmed
OFCpost,0.20686446766,0.182467497735,OFCpost
dmPFC,0.156788702379,0.135792715259,dmPFC
dlPFC,0.154715203336,0.136803460821,dlPFC
MFG,0.161049313329,0.14362116915,MFG
IFG,0.184489301494,0.16601495354,IFG
