,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.228296867779,0.277322965353,0.228296867779,0.251470728925,0.246305316452,0.246491602184,rACC
dACC,0.23427587183,0.288008868209,0.23427587183,0.26007287826,0.254086051339,0.254268996468,dACC
vlPFC,0.209891533708,0.255216265538,0.209891533708,0.232184454765,0.225711253498,0.225883101867,vlPFC
vmPFC,0.192047820506,0.233852351908,0.192047820506,0.211886915159,0.207061956689,0.207177614065,vmPFC
OFCant,0.176583640741,0.211962557672,0.176583640741,0.194156967606,0.187670704344,0.187769203065,OFCant
OFClat,0.186620962088,0.221680075018,0.186620962088,0.203264713186,0.198605115094,0.198729405812,OFClat
OFCmed,0.193848932762,0.232988327356,0.193848932762,0.212604037682,0.207329835003,0.207436735114,OFCmed
OFCpost,0.219843207787,0.267448105796,0.219843207787,0.242505630181,0.237525874676,0.237707650709,OFCpost
dmPFC,0.194498043203,0.236095658593,0.194498043203,0.21416879204,0.209043426715,0.209181124253,dmPFC
dlPFC,0.188061679699,0.229117267777,0.188061679699,0.208202247844,0.201662064723,0.20178231595,dlPFC
MFG,0.196220293429,0.236377080847,0.196220293429,0.215311473839,0.210277484841,0.210423624591,MFG
IFG,0.210163885043,0.25643673869,0.210163885043,0.232665081742,0.226379266603,0.226530925468,IFG
