,Divisive,RW Update,MC,ROI
rACC,0.211840962965,0.196468667024,0.192973741343,rACC
dACC,0.227753042151,0.213447376896,0.205376700848,dACC
vlPFC,0.188056410394,0.175648793147,0.171862942658,vlPFC
vmPFC,0.164837094918,0.151645139204,0.15111788,vmPFC
OFCant,0.140601031172,0.134403217521,0.137005861189,OFCant
OFClat,0.15238697809,0.148802678224,0.148541280258,OFClat
OFCmed,0.168759203736,0.161974788868,0.16499961425,OFCmed
OFCpost,0.212697380438,0.199347091802,0.195519667076,OFCpost
dmPFC,0.16317949574,0.150746511682,0.147684518718,dmPFC
dlPFC,0.158827914555,0.149289566024,0.147932800605,dlPFC
MFG,0.16423579471,0.15769508009,0.154392173804,MFG
IFG,0.190338458093,0.184543151089,0.178286082206,IFG
