,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.0716699577565445,116.10592122883108,3159941.4236294366,0.20280566405606584,rACC
dACC,0.08297463926618542,124.38050161113193,3037129.842239582,0.21674582198358364,dACC
vlPFC,0.05727128471211107,102.75611950624281,3399403.3151836395,0.18075186900021267,vlPFC
vmPFC,0.04666930170930228,88.78837878861009,3383209.935186522,0.15691176472810262,vmPFC
OFCant,0.03531241586250278,78.91238577734165,3452201.2453887607,0.14032568339830379,OFCant
OFClat,0.03919975555269117,85.78183216368119,3283031.011602539,0.1527426605344063,OFClat
OFCmed,0.04687250588044323,95.88654587649035,3130464.666705746,0.16953642749220998,OFCmed
OFCpost,0.07039215312185954,118.25923296324565,3260555.9573014174,0.2068644676599488,OFCpost
dmPFC,0.045868975116031385,88.13259197613966,3745728.3984141094,0.15678870237921713,dmPFC
dlPFC,0.04524891153041066,87.09957088516268,3929216.5825349963,0.15471520333638955,dlPFC
MFG,0.04639151683752629,90.32744374222243,3853747.237976475,0.16104931332933278,MFG
IFG,0.05967587689961262,104.38820264834624,3531394.5352513236,0.18448930149388826,IFG
