,MC,MC by day,RW Update,RW Update by day,ROI
rACC,110.668401132,106.26692945,110.900304433,102.683137572,rACC
dACC,117.89873542,112.663974747,120.929178052,109.29765058,dACC
vlPFC,97.901077803,94.6950070356,98.5174215107,91.4650597903,vlPFC
vmPFC,85.8417897483,83.2691416496,84.5970724764,78.5180942962,vmPFC
OFCant,77.4510290145,76.7924718234,74.5230367428,71.3720580934,OFCant
OFClat,83.70988315,82.4067242529,82.5316225785,78.1117035203,OFClat
OFCmed,93.6774774583,92.3237142643,90.3359497456,87.2627351289,OFCmed
OFCpost,111.813653667,107.67809162,112.355654007,105.740062101,OFCpost
dmPFC,83.1995999374,81.6764558394,83.5148972445,77.0819268482,dmPFC
dlPFC,83.6107097927,82.2451274631,82.8522180245,77.0186917809,dlPFC
MFG,86.8851699516,85.1830661529,87.3310689764,80.4825701959,MFG
IFG,101.161340914,97.4802541172,103.290983142,94.0889186091,IFG
