,Relative,Absolute
rACC,0.277322965353,0.228296867779
dACC,0.288008868209,0.23427587183
vlPFC,0.255216265538,0.209891533708
vmPFC,0.233852351908,0.192047820506
OFCant,0.211962557672,0.176583640741
OFClat,0.221680075018,0.186620962088
OFCmed,0.232988327356,0.193848932762
OFCpost,0.267448105796,0.219843207787
dmPFC,0.236095658593,0.194498043203
dlPFC,0.229117267777,0.188061679699
MFG,0.236377080847,0.196220293429
IFG,0.25643673869,0.210163885043
V1,0.242609264548,0.193894290409
Fusiform,0.255454258698,0.206300428894
