,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0678532569395,110.668401132,3161121.75551,0.0648761922352,106.26692945,3162039.07593,0.068009684564,110.900304433,3161085.0442,0.0698752361813,-113.580523205,3160508.62218,rACC
dACC,0.0781993970266,117.89873542,3038623.99645,0.0744954140926,112.663974747,3039777.63716,0.0804031459164,120.929178052,3037946.98597,0.0764744875465,-115.489796084,3039173.3811,dACC
vlPFC,0.0541817112746,97.901077803,3400344.57773,0.0522129393196,94.6950070356,3400942.77684,0.0545634598659,98.5174215107,3400240.01125,0.0629252496699,-111.172372591,3397684.34476,vlPFC
vmPFC,0.0450066705761,85.8417897483,3383711.21887,0.0435963859771,83.2691416496,3384135.73639,0.0443161762982,84.5970724764,3383930.7162,0.060061152258,-109.979128963,3379151.68615,vmPFC
OFCant,0.0345618080324,77.4510290145,3452424.99751,0.0342277590986,76.7924718234,3452524.51976,0.0330933800783,74.5230367428,3452873.79489,0.0460713422344,-97.6882097007,3448986.36424,OFCant
OFClat,0.0380547528088,83.70988315,3283373.64086,0.0373475795709,82.4067242529,3283585.05087,0.0374115748934,82.5316225785,3283577.49539,0.039704336213,-86.6866319882,3282891.46143,OFClat
OFCmed,0.0455261373902,93.6774774583,3130870.75087,0.0447147292361,92.3237142643,3131115.20674,0.0435389654074,90.3359497456,3131480.63475,0.0459960658424,-94.4591339819,3130740.64836,OFCmed
OFCpost,0.0657996512602,111.813653667,3261973.67143,0.0629661057242,107.67809162,3262844.91992,0.0661743793172,112.355654007,3261869.82316,0.054157156401,-93.8531026666,3265548.30355,OFCpost
dmPFC,0.0431316345863,83.1995999374,3746552.55217,0.0423152541742,81.6764558394,3746797.89019,0.0432990113864,83.5148972445,3746513.79594,0.054910865554,-102.931808582,3743000.74823,dmPFC
dlPFC,0.0433191490574,83.6107097927,3929797.46041,0.0425832470094,82.2451274631,3930018.66575,0.0429057199753,82.8522180245,3929933.32388,0.0540328908787,-101.632097602,3926569.1644,dlPFC
MFG,0.044421098509,86.8851699516,3854341.05098,0.043472171848,85.1830661529,3854626.58655,0.0446691547329,87.3310689764,3854277.93276,0.050592117124,-97.3086874491,3852488.79152,MFG
IFG,0.0575822881001,101.161340914,3532034.32969,0.0552634313915,97.4802541172,3532741.30849,0.0589544034806,103.290983142,3531626.74565,0.0591786969216,-103.634709124,3531558.17041,IFG
