,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0529860224621,86.8273695925,3165673.88903,0.156291926966,0.0585932449032,96.4281229143,3163977.05702,0.172726060333,rACC
dACC,0.063381852564,95.5463999307,3043211.55404,0.171486446944,0.0690616701239,104.599265722,3041473.2703,0.186900240792,dACC
vlPFC,0.0417853660638,75.7561704584,3404090.5539,0.137138879379,0.0460086490559,83.8984762142,3402831.38587,0.15128591674,vlPFC
vmPFC,0.0340000923823,63.3015894258,3387007.85417,0.114980158812,0.0373922631655,70.9646291076,3386007.43907,0.128495829216,vmPFC
OFCant,0.0244030409956,54.2279947056,3455436.27815,0.0992094561056,0.0273015736448,61.706489939,3454591.8682,0.112469737062,OFCant
OFClat,0.0278985915983,62.6786311668,3286395.02745,0.114699994236,0.0312891121794,70.3580161243,3285401.46535,0.128194316757,OFClat
OFCmed,0.0321070128444,68.3037481287,3134887.12938,0.124482100016,0.0358636866176,76.1938402571,3133779.95685,0.138255016817,OFCmed
OFCpost,0.0525049709249,91.0515564052,3266038.81112,0.16400265182,0.0572830529661,98.951987274,3264595.98131,0.177483589406,OFCpost
dmPFC,0.0320859530431,59.6680586641,3749854.38673,0.109447281172,0.0356731258596,68.1516794699,3748797.80891,0.124493594325,dmPFC
dlPFC,0.0317622474998,58.9373871092,3933251.87077,0.10788946632,0.0353334601396,67.4719850761,3932200.41035,0.123018303948,dlPFC
MFG,0.0328454796319,63.3685546143,3857804.98855,0.116385675921,0.0369363866498,72.4957712232,3856597.13751,0.132477533234,MFG
IFG,0.0453382364946,80.0798247639,3535747.84588,0.145359474965,0.0506291921388,89.7373515207,3534160.59193,0.16203938599,IFG
