,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0623955420955,102.487779863,3162824.34791,rACC
dACC,0.0720318495461,109.077212248,3040565.52311,dACC
vlPFC,0.050184908861,91.3006934074,3401580.82257,vlPFC
vmPFC,0.0409974655814,78.3415323704,3384939.55371,vmPFC
OFCant,0.0315130188525,71.2475605867,3453355.17941,OFCant
OFClat,0.035018637967,77.9886505436,3284303.33269,OFClat
OFCmed,0.0416864008165,87.1189729539,3132048.87135,OFCmed
OFCpost,0.0615417857241,105.557758884,3263305.00941,OFCpost
dmPFC,0.0398666885151,76.9573454549,3747555.61805,dmPFC
dlPFC,0.0397930215928,76.881098643,3930878.97916,dlPFC
MFG,0.0408595770991,80.3420132335,3855434.40408,MFG
IFG,0.0530792733138,93.9095031826,3533428.77397,IFG
