,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0716699577565,116.105921229,3159941.42363,rACC
dACC,0.0829746392662,124.380501611,3037129.84224,dACC
vlPFC,0.0572712847121,102.756119506,3399403.31518,vlPFC
vmPFC,0.0466693017093,88.7883787886,3383209.93519,vmPFC
OFCant,0.0353124158625,78.9123857773,3452201.24539,OFCant
OFClat,0.0391997555527,85.7818321637,3283031.0116,OFClat
OFCmed,0.0468725058804,95.8865458765,3130464.66671,OFCmed
OFCpost,0.0703921531219,118.259232963,3260555.9573,OFCpost
dmPFC,0.045868975116,88.1325919761,3745728.39841,dmPFC
dlPFC,0.0452489115304,87.0995708852,3929216.58253,dlPFC
MFG,0.0463915168375,90.3274437422,3853747.23798,MFG
IFG,0.0596758768996,104.388202648,3531394.53525,IFG
