,value,choice,choice_prob
rACC,0.277322965353,0.0307570951564,0.240325861405
dACC,0.288008868209,0.0339681909145,0.250719077229
vlPFC,0.255216265538,0.0288031487949,0.22139637456
vmPFC,0.233852351908,0.0242678458337,0.204153591176
OFCant,0.211962557672,0.0220449590137,0.187485178877
OFClat,0.221680075018,0.025948000553,0.193503537083
OFCmed,0.232988327356,0.0240796781289,0.203101688227
OFCpost,0.267448105796,0.0292268774082,0.229830994128
dmPFC,0.236095658593,0.0269164193626,0.206581747985
dlPFC,0.229117267777,0.0252285064115,0.202158461662
MFG,0.236377080847,0.0287065882898,0.20717708252
IFG,0.25643673869,0.0299887272023,0.223126687918
