,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.062064055480130054,101.95203623793205,3162879.759826811,0.18164010826739355,0.06276819413708346,103.04443678231564,3162663.708096706,0.17734179019575713,0.07495809986221458,120.61910118715186,3158897.5139509276,0.21565238873094822,rACC
dACC,0.07153263395582876,108.31713437173265,3040673.965319636,0.19288302966499563,0.07228749558230263,109.43593441948799,3040439.9808786544,0.18804548046574976,0.087027269386593,129.66895020527537,3035832.535035085,0.23123879342801054,dACC
vlPFC,0.049963492226985484,90.8994666557804,3401601.5991105377,0.16282695360022015,0.05053732631686658,91.87802348657742,3401427.7842464824,0.15899365110267688,0.059891979431651476,106.7151031494202,3398579.3397796843,0.19224724345205849,vlPFC
vmPFC,0.0408343540274656,77.99581134882901,3384942.20116121,0.14037342149817453,0.041418132646792505,79.13435482936421,3384767.056688615,0.13707360004039462,0.04852428033614109,91.96484261805763,3382626.4866732154,0.16699733423388619,vmPFC
OFCant,0.031500948887163704,71.19336999859328,3453312.4863388743,0.1285819666240457,0.032171471122577344,72.60380045993735,3453113.2474844703,0.1266063804046769,0.03635030203235534,80.88054510811592,3451868.431016789,0.14766516645355596,OFCant
OFClat,0.034797305790004174,77.52924634100391,3284323.030298181,0.1402027074472672,0.035486328663203115,78.87068745008179,3284117.5927404915,0.13808620455819648,0.040444562770929116,87.97277137909754,3282634.9142450434,0.16043459493515927,OFClat
OFCmed,0.041819626757633954,87.3307684551105,3131962.596622335,0.1567562645478705,0.04252849260875646,88.57364318331035,3131749.690990137,0.15419390943357517,0.04822941884153287,98.05815140282884,3130031.6822130415,0.17740081758211204,OFCmed
OFCpost,0.06125607287093082,105.10632593781472,3263346.3017111844,0.18730476431914492,0.061903846932157336,106.08304988137832,3263147.7215004363,0.18315643128111367,0.07361069443635115,122.60177653315151,3259535.067796638,0.21910637421091272,OFCpost
dmPFC,0.03995640489262975,77.1089298458226,3747482.4572041025,0.13979595912629447,0.04057694252793054,78.33068187944892,3747296.4510831814,0.13669957529437374,0.047824533878192854,91.49901144103285,3745115.033757063,0.1671265034274434,dmPFC
dlPFC,0.03984055648143181,76.94904529709791,3930818.458941475,0.13917543622710216,0.04054610103357292,78.33935539813538,3930606.988160972,0.1363645102209281,0.04696080466122343,90.08130161400132,3928677.1627771934,0.164425332948395,dlPFC
MFG,0.040783609385795505,80.17141174664533,3855410.9102479834,0.14551514514635597,0.04148155998205283,81.49605891906633,3855201.510665529,0.14270099963169794,0.048136278620430684,93.26976484418643,3853197.265399714,0.17056849873714117,MFG
IFG,0.05252496630504955,92.95921101850669,3533550.848058719,0.1673090281686872,0.053210631806464126,94.10636249195579,3533342.5854108385,0.16358905113557431,0.06191889769667103,107.74378617533658,3530684.353139324,0.19513835911620098,IFG
