,Divisive,ROI
rACC,-16.2027877417,rACC
dACC,-19.2947069837,dACC
vlPFC,-3.06137302904,vlPFC
vmPFC,-2.56275183828,vmPFC
OFCant,12.1000987037,OFCant
OFClat,19.6927228992,OFClat
OFCmed,4.79195517667,OFCmed
OFCpost,1.87407816539,OFCpost
dmPFC,-2.71037850575,dmPFC
dlPFC,-4.1550710973,dlPFC
MFG,-10.4167471873,MFG
IFG,-14.1275280586,IFG
