,Divide Mean,Running Average,ROI
rACC,-0.0549958565746,-0.0596781584651,rACC
dACC,-0.0550187410034,-0.0594202515933,dACC
vlPFC,-0.0367549404494,-0.0613823921095,vlPFC
vmPFC,-0.030307535418,-0.0554882087477,vmPFC
OFCant,-0.00469230494554,-0.0516525037977,OFCant
OFClat,0.0153341333668,-0.0461767014253,OFClat
OFCmed,-0.0208575674873,-0.0564556608168,OFCmed
OFCpost,-0.0205394133292,-0.0540519647024,OFCpost
dmPFC,-0.0242760132196,-0.0495244180995,dmPFC
dlPFC,-0.0211281351311,-0.0504554820425,dlPFC
MFG,-0.0274925991823,-0.0504941106389,MFG
IFG,-0.0422446356676,-0.0563692164515,IFG
