,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,-0.110322548089,-0.0699997066923,-0.122263495328,-0.122958837866,-0.0669008092356,-0.0660853741335,rACC
dACC,-0.104706115813,-0.0676083351018,-0.118503550407,-0.120191287087,-0.064365653556,-0.0636465606753,dACC
vlPFC,-0.0938869404963,-0.0480373279757,-0.105535331422,-0.104196197204,-0.0447780255803,-0.0443399537849,vlPFC
vmPFC,-0.0819676603592,-0.0363664093872,-0.0926179377281,-0.0920104557831,-0.0332801570826,-0.0327520690568,vmPFC
OFCant,-0.0594141356402,-0.0139162980284,-0.0698268391857,-0.0689920378849,-0.0107201753579,-0.0106154381352,OFCant
OFClat,-0.0453571752185,0.00027688405395,-0.0554737281847,-0.0550364805846,0.00352199620244,0.00338208994808,OFClat
OFCmed,-0.075693739234,-0.027867651767,-0.0869021343077,-0.0853764595341,-0.0245988584421,-0.0243072489185,OFCmed
OFCpost,-0.079236383037,-0.0337281174404,-0.091175197227,-0.0905775332928,-0.0304547259277,-0.0301182589871,OFCpost
dmPFC,-0.085224934973,-0.0401392822273,-0.0931184607948,-0.0923128444632,-0.0374741386926,-0.0369301987285,dmPFC
dlPFC,-0.0772990026226,-0.0316309277562,-0.0869101362608,-0.0873033079254,-0.0285326311566,-0.0282425056126,dlPFC
MFG,-0.0778556851888,-0.0369113320059,-0.0910318433944,-0.0927607959422,-0.0334872393309,-0.0333568413713,MFG
IFG,-0.0887397927987,-0.0486442637726,-0.102452628312,-0.103366219974,-0.0452492922326,-0.0449747404074,IFG
