,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0254435709378,-43.4923292702,3142399.94581,0.0371236304452,73.4617428285,3138938.73654,0.0313404228508,-60.428508431,3140669.28653,0.0242768814472,39.3330438301,3142754.96255,rACC
dACC,0.0249261646896,-42.8694579806,3115161.08476,0.0362931303194,72.4244820929,3111795.00019,0.0323406553782,-63.6584149802,3112981.4903,0.0237746787061,38.7044839406,3115511.44878,dACC
vlPFC,0.0255894564565,-39.4698577003,3187289.88814,0.0301674468223,54.0392489689,3185938.03566,0.0326939461274,-60.6517929018,3185200.80811,0.0283275036852,48.7047681101,3186493.6924,vlPFC
vmPFC,0.0231917341046,-34.6523693913,3201673.39533,0.0319957902959,61.8263651076,3199074.35973,0.026687647909,-47.2984829996,3200655.753,0.0274054989107,49.5042171867,3200443.95762,vmPFC
OFCant,0.0190261124242,-26.3232833227,3037023.44096,0.0244005245188,47.7291863566,3035446.41041,0.0227507245461,-42.3157818794,3035943.00601,0.0242062419101,47.1325359762,3035515.13797,OFCant
OFClat,0.0162770436915,-19.6227718012,2858519.64924,0.0197191882887,37.3412606222,2857513.43276,0.019533023093,-36.6142758214,2857579.51078,0.0225403975144,47.2008712493,2856697.65893,OFClat
OFCmed,0.0229192676187,-33.9786093539,2954622.88825,0.0284978617377,53.0048935217,2952979.231,0.0296366628727,-56.1311921478,2952654.10628,0.0264076003733,46.7781728948,2953607.76869,OFCmed
OFCpost,0.0238771123218,-31.8009906107,3094759.77883,0.0305440191703,54.7021881359,3092792.42971,0.0288610510825,-49.9068032237,3093301.90076,0.0286666253175,49.3227355967,3093359.36573,OFCpost
dmPFC,0.0199346786958,-31.5426151737,3598661.20209,0.0295833729147,62.1206893437,3595821.09746,0.0236701553099,-45.8043466043,3597576.55851,0.0237204739274,45.9667435624,3597561.76342,dmPFC
dlPFC,0.0210834394174,-30.5812846726,3789189.59306,0.0280248401642,54.6984106537,3787146.82069,0.0250037079054,-45.7621935126,3788049.25885,0.0266334614028,50.7771221555,3787569.02101,dlPFC
MFG,0.0219227017189,-30.8813867313,3729864.18758,0.0292941791575,56.0427233612,3727692.50027,0.0255411931073,-44.9904798479,3728811.77575,0.0282901241427,53.3098511711,3728000.8374,MFG
IFG,0.0244471428955,-37.1578569633,3432863.10138,0.0340607353549,65.2027385788,3430020.22606,0.0290927469674,-52.5531160686,3431504.41284,0.029702886969,54.2593087921,3431323.96054,IFG
