,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0228069376392,33.3760497152,3143198.66692,rACC
dACC,0.0222170753702,32.2393480471,3115980.66756,dACC
vlPFC,0.0287736467801,50.0611132587,3186373.42559,vlPFC
vmPFC,0.028444107997,52.5467838757,3200148.81606,vmPFC
OFCant,0.0277367717384,57.2094912673,3034486.20346,OFCant
OFClat,0.0269721241708,59.5524928331,2855404.75443,OFClat
OFCmed,0.0283193915173,52.5194999901,2953055.09567,OFCmed
OFCpost,0.0294808542493,51.735980724,3093130.20077,OFCpost
dmPFC,0.0234428487319,45.0748359278,3597654.95095,dmPFC
dlPFC,0.0269803590969,51.7936766763,3787478.26464,dlPFC
MFG,0.0286287333091,54.2586922074,3727912.356,MFG
IFG,0.0292582519686,53.0306687235,3431467.04245,IFG
