,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0246390156467,40.6600020271,3142636.83426,0.0788265660923,0.0264515169636,46.8160983452,3142114.4635,0.0905370400929,rACC
dACC,0.0226719636088,34.2265786178,3115823.95393,0.0677186905941,0.024615923279,41.79602585,3115263.97249,0.0820982203733,dACC
vlPFC,0.0249117064685,36.8410666993,3187489.48363,0.0716331511494,0.0264921133467,42.7373941413,3187035.40991,0.0828931053949,vlPFC
vmPFC,0.0242991525783,39.0890978402,3201347.76644,0.0757545640016,0.0253131818897,42.7691054283,3201060.84111,0.0829934873367,vmPFC
OFCant,0.0189066432158,25.6490863042,3037058.39894,0.0506444285748,0.0195706256825,29.2186399522,3036875.624,0.0576919945597,OFCant
OFClat,0.0164689765641,21.0034844141,2858463.63569,0.0413674489852,0.0169297413443,24.0187054942,2858340.68921,0.0473409629937,OFClat
OFCmed,0.0225715930671,32.4349878844,2954725.01497,0.0632196338127,0.0233743661498,35.9145353335,2954500.71906,0.0700985517508,OFCmed
OFCpost,0.0239680146713,32.2200564427,3094733.04476,0.0630502007182,0.024809419782,35.8846387989,3094497.0396,0.0703004971631,OFCpost
dmPFC,0.0210345200858,36.3118996047,3598338.87781,0.0706519567173,0.0226096677376,42.2409800684,3597888.19439,0.0819481700818,dmPFC
dlPFC,0.0223166151922,36.0342237212,3788827.74421,0.0700975167157,0.0238289037928,41.7874549172,3788394.93958,0.0810824930953,dlPFC
MFG,0.0224514560401,33.3083169011,3729708.95875,0.0654669585896,0.0239521738737,39.4146780154,3729279.49583,0.0771538493719,MFG
IFG,0.024567056729,37.6319677981,3432827.814,0.0733322513998,0.0261505874775,43.4308945868,3432372.98412,0.0844326185931,IFG
