,MC,MC by day,RW Update,RW Update by day,ROI
rACC,1.92200482957,73.4617428285,39.8181357761,39.3330438301,rACC
dACC,0.819658292606,72.4244820929,37.1813294885,38.7044839406,dACC
vlPFC,-1.46650895856,54.0392489689,43.736693288,48.7047681101,vlPFC
vmPFC,-2.39153935221,61.8263651076,45.1650070875,49.5042171867,vmPFC
OFCant,-3.00412459264,47.7291863566,44.3780036975,47.1325359762,OFCant
OFClat,-3.89618960187,37.3412606222,45.5243885229,47.2008712493,OFClat
OFCmed,-1.89024111755,53.0048935217,38.8492774852,46.7781728948,OFCmed
OFCpost,-2.84082007455,54.7021881359,44.7288980875,49.3227355967,OFCpost
dmPFC,-2.20255154983,62.1206893437,43.0362028956,45.9667435624,dmPFC
dlPFC,-2.23680762964,54.6984106537,46.0280006769,50.7771221555,dlPFC
MFG,-2.89148896167,56.0427233612,49.3623723345,53.3098511711,MFG
IFG,-1.8689613463,65.2027385788,46.4755661637,54.2593087921,IFG
