,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.029972165908872972,-56.92574515061912,3141062.9141605557,-0.1208240440052543,rACC
dACC,0.029418563029577904,-56.34672872646745,3113835.4700231897,-0.11978432480828943,dACC
vlPFC,0.028861416955123897,-50.30176568328324,3186324.347737919,-0.10926740984007365,vlPFC
vmPFC,0.0265575538422137,-46.87725179431252,3200682.5519182044,-0.1026343715571382,vmPFC
OFCant,0.02051437641442788,-33.61741807633205,3036587.6016827696,-0.07736458078856188,OFCant
OFClat,0.017082984721488836,-24.914653221466423,2858284.3705359544,-0.06049344125600035,OFClat
OFCmed,0.025110469414329817,-42.45397234146567,2953978.4021589523,-0.09444472904297883,OFCmed
OFCpost,0.026400936007283216,-41.92909343354174,3094016.6043951395,-0.09409596476597316,OFCpost
dmPFC,0.02246310304015442,-41.71316019514354,3597919.6700099744,-0.09222241982594592,dmPFC
dlPFC,0.024007868749859607,-42.404504086309466,3788330.739402896,-0.0940171562688483,dlPFC
MFG,0.025510884631504527,-44.87923021137595,3728809.136616102,-0.09889717634165865,MFG
IFG,0.028569634098892682,-51.03679783834764,3431647.4686999894,-0.11046317033085361,IFG
