,Relative,Absolute
rACC,-0.0699997066923,-0.110322548089
dACC,-0.0676083351018,-0.104706115813
vlPFC,-0.0480373279757,-0.0938869404963
vmPFC,-0.0363664093872,-0.0819676603592
OFCant,-0.0139162980284,-0.0594141356402
OFClat,0.00027688405395,-0.0453571752185
OFCmed,-0.027867651767,-0.075693739234
OFCpost,-0.0337281174404,-0.079236383037
dmPFC,-0.0401392822273,-0.085224934973
dlPFC,-0.0316309277562,-0.0772990026226
MFG,-0.0369113320059,-0.0778556851888
IFG,-0.0486442637726,-0.0887397927987
V1,-0.0221975273089,-0.0649728248114
Fusiform,-0.025888626784,-0.0693366878551
