,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0216823413448,-27.9409721274,3143505.70441,rACC
dACC,0.0213315524352,-27.8692383038,3116217.39005,dACC
vlPFC,0.0214114055663,-18.0455677801,3188518.10915,vlPFC
vmPFC,0.0198305029765,-14.570057142,3202659.48658,vmPFC
OFCant,0.0166608593916,-0.885867838755,3037714.74853,OFCant
OFClat,0.0152835284238,9.74903742545,2858809.42144,OFClat
OFCmed,0.0192995189737,-9.52710422481,2955684.38567,OFCmed
OFCpost,0.020731794444,-9.27673281489,3095683.2758,OFCpost
dmPFC,0.0169818037454,-11.3870230055,3599524.79844,dmPFC
dlPFC,0.0182126333191,-9.6494096763,3790030.20652,dlPFC
MFG,0.0192527703445,-13.0230052309,3730646.73204,MFG
IFG,0.0212578954744,-20.9959646285,3433800.02174,IFG
