,Divisive,RW Update,ROI
rACC,0.136135685477,0.0934368243612,rACC
dACC,0.134227892619,0.0888985910673,dACC
vlPFC,0.141336544946,0.100875924142,vlPFC
vmPFC,0.136992643451,0.102936343908,vmPFC
OFCant,0.128681691712,0.099903054912,OFCant
OFClat,0.12254102426,0.100553225939,OFClat
OFCmed,0.137141433486,0.0911950208553,OFCmed
OFCpost,0.142109771394,0.102577390304,OFCpost
dmPFC,0.127323392463,0.0978527374745,dmPFC
dlPFC,0.132555433252,0.103848440606,dlPFC
MFG,0.135029632982,0.110417753754,MFG
IFG,0.138862315282,0.105736042943,IFG
