,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.030298705346162302,-57.76047372323809,3140943.1299950574,-0.12267781658024549,0.029380792317421633,-55.332168024688315,3141214.7315694187,-0.11818286366424699,0.022150086653877743,-30.271694733819345,3143345.2894564234,-0.06031890657680022,rACC
dACC,0.029737148975477523,-57.16842160330962,3113718.094115741,-0.12161095101423663,0.028677394392883082,-54.32745397487558,3114031.460946344,-0.11634337051648061,0.021789331744290208,-30.156043235637135,3116059.948899151,-0.06025072879885438,dACC
vlPFC,0.029204243661443807,-51.2885343120124,3186199.858084969,-0.11141804047779008,0.028794967049397435,-50.08429524587835,3186320.8542822087,-0.10913209577621823,0.021747620773434395,-20.552606951519223,3188396.3313552863,-0.0424496446107319,vlPFC
vmPFC,0.026879825667791235,-47.86704406041261,3200564.365739877,-0.10478457144450869,0.026408406334356038,-46.380492658293605,3200703.3961912724,-0.10197778198620017,0.020107461164819873,-17.072739320431257,3202555.227863613,-0.03596845521726048,vmPFC
OFCant,0.020768420907523066,-34.68266498707471,3036490.0035313806,-0.07964811913441035,0.020795065942246116,-34.79556050112523,3036482.1924532456,-0.0797616668783579,0.016702769450188115,-3.3195775178889133,3037679.3788280487,-0.01017365588206225,OFCant
OFClat,0.017294144169282766,-26.087351022504397,2858199.5599174704,-0.06296769649844729,0.017424891932466102,-26.81115363498311,2858161.364275838,-0.06422881011690693,0.01514431557883722,7.242481105635808,2858826.8665383467,0.009763425674793137,OFClat
OFCmed,0.02541837657015089,-43.49238826852146,2953864.5882090023,-0.09668933694298729,0.02525870725275914,-42.94480455400287,2953911.6146238074,-0.0955996607433392,0.019490570531115692,-12.029756172237606,2955605.322627725,-0.0265213639650407,OFCmed
OFCpost,0.026702501953561164,-42.95953893383197,3093904.5404951903,-0.09633981853739827,0.026422408269615394,-41.98102403871934,3093987.1384738525,-0.09445827112284128,0.020916604470165856,-11.758282802503974,3095605.9609354404,-0.026200377199682035,OFCpost
dmPFC,0.02273411520341584,-42.638750059524746,3597816.9393747994,-0.09423859943026935,0.022344327041501466,-41.26608595340627,3597931.4124907013,-0.09162799491472817,0.017190796660839003,-13.737997250275724,3599440.626973561,-0.029592781350990898,dmPFC
dlPFC,0.024307765561915606,-43.41558949748449,3788219.3846655153,-0.09620124041349079,0.02376121586194535,-41.51083142710792,3788380.141481233,-0.09262921431568603,0.01840723801470745,-12.167108236519645,3789950.1663069553,-0.026790795876552108,dlPFC
MFG,0.025816474552292412,-45.856390461362714,3728695.968216957,-0.10102303166042716,0.024969647010080975,-43.03103605234832,3728945.3930533775,-0.0957719498137446,0.019499172961350175,-15.48475320686089,3730551.4670074233,-0.03306842411805785,MFG
IFG,0.028883191586908774,-51.92554843804123,3431531.661573062,-0.11243011802495653,0.02788150145770596,-48.96627531258048,3431827.607405889,-0.10695821777536194,0.021623582627818716,-23.37272394516166,3433669.612310871,-0.047681557392761864,IFG
