,Divisive,ROI
rACC,-27.9409721274,rACC
dACC,-27.8692383038,dACC
vlPFC,-18.0455677801,vlPFC
vmPFC,-14.570057142,vmPFC
OFCant,-0.885867838755,OFCant
OFClat,9.74903742545,OFClat
OFCmed,-9.52710422481,OFCmed
OFCpost,-9.27673281489,OFCpost
dmPFC,-11.3870230055,dmPFC
dlPFC,-9.6494096763,dlPFC
MFG,-13.0230052309,MFG
IFG,-20.9959646285,IFG
