,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0299721659089,-56.9257451506,3141062.91416,rACC
dACC,0.0294185630296,-56.3467287264,3113835.47002,dACC
vlPFC,0.0288614169551,-50.3017656832,3186324.34774,vlPFC
vmPFC,0.0265575538422,-46.8772517943,3200682.55192,vmPFC
OFCant,0.0205143764144,-33.6174180763,3036587.60168,OFCant
OFClat,0.0170829847215,-24.9146532214,2858284.37054,OFClat
OFCmed,0.0251104694143,-42.4539723414,2953978.40216,OFCmed
OFCpost,0.0264009360073,-41.9290934335,3094016.6044,OFCpost
dmPFC,0.0224631030402,-41.7131601951,3597919.67001,dmPFC
dlPFC,0.0240078687499,-42.4045040863,3788330.7394,dlPFC
MFG,0.0255108846315,-44.8792302113,3728809.13662,MFG
IFG,0.0285696340989,-51.0367978383,3431647.4687,IFG
