,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.027308846309833545,-49.43343270535503,3141826.8572803508,-0.10333273329972746,rACC
dACC,0.026449263592333683,-47.83035135884233,3114689.2001643674,-0.1004007170894771,dACC
vlPFC,0.027531603543207273,-46.17634235899563,3186694.026479798,-0.09771730818126909,vlPFC
vmPFC,0.02513469072319452,-42.11038960502366,3201078.702546353,-0.08999252403092167,vmPFC
OFCant,0.02050117255733086,-33.52966059420716,3036568.3364952994,-0.07348109630991406,OFCant
OFClat,0.01745794868218653,-26.991107547203335,2858151.706527355,-0.060802786980536136,OFClat
OFCmed,0.024536982569025367,-40.37951189963177,2954124.0836639116,-0.08672967542643087,OFCmed
OFCpost,0.025585428404213406,-38.91431474043374,3094233.8173840153,-0.08449283811447503,OFCpost
dmPFC,0.021324227269128748,-37.44207237110122,3598230.7798478454,-0.08070114168870114,dmPFC
dlPFC,0.022536420655360767,-36.895785688146226,3788740.0642508715,-0.08010458620171443,dlPFC
MFG,0.02332129238540559,-36.93340570009879,3729430.2792989463,-0.08044854756069963,MFG
IFG,0.025863099317587568,-42.402250975924936,3432423.012042603,-0.09073832872529196,IFG
