,Divisive,RW Update,MC,ROI
rACC,0.136135685477,0.0934368243612,0.00345147517493,rACC
dACC,0.134227892619,0.0888985910673,0.000559204087641,dACC
vlPFC,0.141336544946,0.100875924142,-0.00482868526719,vlPFC
vmPFC,0.136992643451,0.102936343908,-0.00528961153807,vmPFC
OFCant,0.128681691712,0.099903054912,-0.00764699996051,OFCant
OFClat,0.12254102426,0.100553225939,-0.0100646592718,OFClat
OFCmed,0.137141433486,0.0911950208553,-0.00607036750067,OFCmed
OFCpost,0.142109771394,0.102577390304,-0.00788514054014,OFCpost
dmPFC,0.127323392463,0.0978527374745,-0.00159820672667,dmPFC
dlPFC,0.132555433252,0.103848440606,-0.00353371625899,dlPFC
MFG,0.135029632982,0.110417753754,-0.00581974574466,MFG
IFG,0.138862315282,0.105736042943,-0.00501579071413,IFG
