6.0544	2.0933	1	5
17.65	2.0648	0	4
27.373	1.4722	1	1
38.543	2.3864	1	5
47.774	3.3029	1	3
55.435	1.4487	1	5
66.205	3.4548	1	1
76.574	1.2152	1	3
85.959	2.5675	0	5
105.24	1.792	1	2
113.96	2.0253	1	1
122.28	3.0596	1	2
133.96	2.2236	1	3
154.62	2.8668	1	2
164.09	2.601	1	5
176.42	1.9249	1	4
187.69	3.0455	1	1
196.99	1.6382	1	3
217.15	2.6005	1	5
224.99	3.2856	1	3
245.39	1.907	0	5
255.51	3.7389	1	1
264.5	4.0699	1	3
275.85	3.9793	1	5
286.13	4.2976	0	1
296.67	2.3465	0	4
304.41	4.9817	1	4
313.56	3.0584	1	3
324.24	4.1971	1	4
333.88	2.5944	1	1
341.87	1.9626	1	2
373.88	2.4544	1	3
382.93	4.2689	1	2
395.02	2.1084	1	1
403.66	3.5435	1	5
414.77	3.1615	1	5
423.34	1.9858	1	4
444.16	1.7775	0	4
455.92	1.474	0	2
468.34	3.0834	1	5
480.18	2.382	1	2
492.44	1.9379	1	5
510.8	2.8936	1	3
518.31	4.3052	1	3
538.55	1.5568	1	3
546.12	2.3083	0	2
554.61	3.3991	1	1
582.69	2.0473	1	5
593.63	2.6157	0	4
601.15	2.448	1	5
