6.9147	3.0287	16
18.321	1.6547	15
38.066	1.839	6
75.016	2.1175	12
86.204	3.0405	10
96.331	4.7086	10
117.07	1.6248	20
136.08	2.5582	10
187.68	2.6926	12
197.31	1.7385	2
208.1	1.8674	12
220.11	2.6003	5
229.57	4.3319	10
242.07	2.1365	5
284.05	4.4913	9
294.74	2.1196	10
314.75	1.9618	10
325.18	1.7482	10
335.71	1.741	12
343.63	1.5121	16
352.44	2.0674	14
361.09	1.6647	16
368.92	1.9177	15
380.19	1.9537	15
406.29	2.0368	17
414.7	1.8165	10
446.37	2.0738	10
458.14	2.0259	4
468.42	2.5361	14
480.6	1.7221	14
501.41	1.8182	10
512.38	1.6172	14
543.47	1.8245	20
551.05	1.7958	10
558.55	1.9799	10
569.16	2.2906	13
577.16	1.9753	6
587.12	1.3789	9
595.43	1.857	4
602.36	1.9871	8
608.45	3.037	15
