14.3	1.7528	1
24.73	3.5188	1
36.331	2.3695	1
46.206	1.6189	1
66.383	1.7143	1
85.88	2.9976	1
95.513	3.032	1
105.22	3.125	1
112.74	1.636	1
128.8	1.9074	1
158.1	4.7559	1
178.19	1.5004	1
218.19	1.4133	1
226.17	2.8052	1
246.75	1.8107	1
258.26	1.6802	1
267.73	1.9587	1
287.23	1.843	1
299.33	3.2114	1
317.03	1.9607	1
329.29	4.5579	1
351.91	3.2159	1
371.1	1.9985	1
379.9	1.8176	1
387.72	1.8206	1
397.03	1.7869	1
407	2.0518	1
418.35	1.7729	1
426.66	3.591	1
449.37	2.0092	1
460.07	1.9809	1
470.19	3.4067	1
480.4	2.9035	1
491.33	2.4283	1
499.98	2.7943	1
520.55	1.6927	1
531.42	2.3607	1
539.9	2.1673	1
552.07	2.7474	1
561.13	2.8733	1
570.1	2.8772	1
594.95	2.3699	1
