,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.021570229960633625,-26.9162115358283,3442441.2227045605,-0.05088306929866035,rACC
dACC,0.02502303145072937,-20.761439551142452,3334921.646591341,-0.03943734976462909,dACC
vlPFC,0.021803459632418365,-41.391326509250995,3564676.1377992555,-0.07701123212531163,vlPFC
vmPFC,0.028105631489320992,-47.20845598212585,3315153.0497672986,-0.08821716821195383,vmPFC
OFCant,0.024491117220074465,-49.392402408557786,3350653.9715981893,-0.09152712599420466,OFCant
OFClat,0.0222074015383541,-50.408836543774676,3272021.5519154957,-0.09303760312078445,OFClat
OFCmed,0.029702781206720985,-46.05739317392285,3041199.575800091,-0.08576721820414292,OFCmed
OFCpost,0.02777075653825567,-40.19299092040536,3087166.136986254,-0.07481941425959819,OFCpost
dmPFC,0.014454945368318706,-5.577357935234527,3889424.830293378,-0.011084635739737215,dmPFC
dlPFC,0.013653549576122859,-8.671677133138248,4101079.1782484697,-0.016814664788704043,dlPFC
MFG,0.015041244523132047,-14.539130284186651,4050375.5794288265,-0.02762731740536416,MFG
IFG,0.015512006415411395,-10.648853623382267,3788571.7928780233,-0.020526720969872344,IFG
