,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,-0.0650430222189,-0.0527911602866,-0.0594796155278,-0.0625297098246,-0.0589052643136,-0.0589141681808,rACC
dACC,-0.0538016509645,-0.0392706830333,-0.0479507306862,-0.050385793467,-0.0461461843512,-0.0460447028999,dACC
vlPFC,-0.0826213388077,-0.0713394173019,-0.0770420388259,-0.0804324550422,-0.0773585836083,-0.0770548699304,vlPFC
vmPFC,-0.0991254698588,-0.0861612136528,-0.0930815364897,-0.0965690450613,-0.0928921605156,-0.0926186555649,vmPFC
OFCant,-0.118554940515,-0.108023956706,-0.113591111841,-0.116581541309,-0.113592804171,-0.113407926348,OFCant
OFClat,-0.119762044288,-0.110988339487,-0.115002510109,-0.118180588046,-0.115988476007,-0.115617454499,OFClat
OFCmed,-0.0959084275361,-0.0820446938265,-0.0891047877501,-0.0933788815094,-0.0893921941137,-0.0891075550623,OFCmed
OFCpost,-0.0714135357667,-0.0578037848935,-0.066000694856,-0.0685026464819,-0.0646399015912,-0.0642525296057,OFCpost
dmPFC,0.00468200051716,0.0138376426267,0.00897250198124,0.00675376590378,0.0094929511541,0.00923734521736,dmPFC
dlPFC,0.00116580292969,0.0105469338715,0.00650986238122,0.00311256288953,0.00589375226432,0.00566296370004,dlPFC
MFG,-0.0163905464683,-0.00684811084317,-0.011277581558,-0.0143910479606,-0.0115369106051,-0.0117703911037,MFG
IFG,-0.00533587972782,0.00553409260098,-0.000247266380973,-0.00302348358471,0.000215848237839,9.06701059691e-05,IFG
