,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.022181699951131395,-30.0944442987073,3442285.6679062597,-0.0509126590199374,rACC
dACC,0.02550734036197444,-23.98547632500002,3334802.7581499326,-0.039088723898841465,dACC
vlPFC,0.022077233395962792,-42.37629180277001,3564619.257810565,-0.07433621945921032,vlPFC
vmPFC,0.02889401427393623,-49.64376470753205,3314944.227547039,-0.08652113342864413,vmPFC
OFCant,0.024877192903413392,-50.5544829709565,3350563.9556828937,-0.08939296493053268,OFCant
OFClat,0.022354222927893352,-50.85640798712702,3272001.7568791225,-0.09072996444106478,OFClat
OFCmed,0.03057993109824908,-48.82451370943999,3040964.2008066443,-0.08487776317242583,OFCmed
OFCpost,0.028335606043278894,-42.2442930649766,3087023.156391257,-0.07301309223261035,OFCpost
dmPFC,0.014528707274778951,-7.382609890241245,3889426.563636254,-0.009742129887312635,dmPFC
dlPFC,0.01383468540545918,-11.389068456439524,4101049.8101887596,-0.017314744884653215,dlPFC
MFG,0.015355531974771242,-17.45525158786573,4050307.488709454,-0.028471535705191318,MFG
IFG,0.015703343253621882,-13.075982308443855,3788539.363529639,-0.02017434308928503,IFG
