,Divisive,ROI
rACC,-25.905319766,rACC
dACC,-19.5093978059,dACC
vlPFC,-40.4565437689,vlPFC
vmPFC,-46.0898923656,vmPFC
OFCant,-48.7153382789,OFCant
OFClat,-49.9714567486,OFClat
OFCmed,-45.0133928473,OFCmed
OFCpost,-39.1073050058,OFCpost
dmPFC,-4.4451800472,dmPFC
dlPFC,-7.68938587838,dlPFC
MFG,-13.6564038364,MFG
IFG,-9.54652789301,IFG
