,Divisive,RW Update,MC,ROI
rACC,0.071218884137,0.00723499290881,-0.0215543333415,rACC
dACC,0.0795349280819,0.0151217411292,-0.0245541432229,dACC
vlPFC,0.0506343291831,0.0150237193363,-0.0259356057915,vlPFC
vmPFC,0.0707001852315,0.00648803879518,-0.0214651992318,vmPFC
OFCant,0.0447267157206,0.0223572877761,-0.017726369563,OFCant
OFClat,0.028933006121,0.0167610339302,-0.0205555689502,OFClat
OFCmed,0.0680615491225,0.0205445197719,-0.0194600569402,OFCmed
OFCpost,0.0650889539504,0.0234415689912,-0.0246800815355,OFCpost
dmPFC,0.0630485897495,-0.00703663488463,-0.0352241859715,dmPFC
dlPFC,0.0587403948314,-0.00529875451214,-0.0343242443961,dlPFC
MFG,0.0568772169758,-0.00119255259391,-0.0326307617618,MFG
IFG,0.063387790452,0.00464976720815,-0.0324748862239,IFG
