,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0213810189048,-25.905319766,3442519.6167,rACC
dACC,0.0248444421973,-19.5093978059,3334997.12301,dACC
vlPFC,0.0215362525923,-40.4565437689,3564777.3296,vlPFC
vmPFC,0.0277465803977,-46.0898923656,3315281.74929,vmPFC
OFCant,0.0242594443165,-48.7153382789,3350744.96965,OFCant
OFClat,0.0220516612069,-49.9714567486,3272090.19967,OFClat
OFCmed,0.0293754900527,-45.0133928473,3041319.09677,OFCmed
OFCpost,0.0274726513418,-39.1073050058,3087276.88889,OFCpost
dmPFC,0.0144089241926,-4.4451800472,3889461.30303,dmPFC
dlPFC,0.0135911971789,-7.68938587838,4101120.37234,dlPFC
MFG,0.0149486376884,-13.6564038364,4050425.57775,MFG
IFG,0.0154284612255,-9.54652789301,3788619.17345,IFG
