,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.021663210938532296,-27.417428706619518,3442414.059421397,-0.051467371036807416,0.02128290626180962,-25.30536826103324,3442525.144584599,-0.04805607827839233,0.020949009285596176,-23.295224528528852,3442622.6387026357,-0.04144970850054978,rACC
dACC,0.025085158681854458,-21.196198291231976,3334903.432871485,-0.039866580935186434,0.024833963898054146,-19.378821317351314,3334977.0680195633,-0.037064721051798644,0.02449551486753143,-16.620605514574162,3335076.250856613,-0.028831529230982957,dACC
vlPFC,0.02189272660407382,-41.70711512828033,3564650.0533501254,-0.07731643796839166,0.021491000712804298,-40.26694692939041,3564767.421791385,-0.07515807950452154,0.02095937911927237,-38.279846675201334,3564922.6665738393,-0.06921892783197411,vlPFC
vmPFC,0.02826243980536136,-47.69821918592248,3315106.9305173,-0.08875910700205884,0.027592907482878126,-45.57147244308791,3315303.796264205,-0.08536785482700143,0.026908342951261877,-43.2923405437419,3315504.941904868,-0.07816357262347216,vmPFC
OFCant,0.024605981241953345,-49.734848056360455,3350620.314588056,-0.09188847277589264,0.02408998656551653,-48.17806755046023,3350771.478268761,-0.08954218004513544,0.02368468139221802,-46.92023886271177,3350890.158771786,-0.08505129038058735,OFCant
OFClat,0.02230220234397362,-50.68541256683086,3271993.838917529,-0.09333427286155457,0.021857812275755784,-49.37601553383053,3272123.723678658,-0.09142438259927677,0.021629509792031598,-48.69010632680961,3272190.428179823,-0.08849939968872515,OFClat
OFCmed,0.029853406081248757,-46.540185793653606,3041155.2023909604,-0.0862978165048091,0.029224277592950765,-44.48995103526772,3041340.4951218395,-0.08309947598198213,0.028604146439817124,-42.374854211812114,3041523.020450496,-0.07625603623072445,OFCmed
OFCpost,0.027876948063651485,-40.58170532253848,3087134.916326844,-0.07519471191157154,0.02742802990074822,-38.912558962017705,3087266.876492218,-0.0726993124141975,0.026834261229314205,-36.59062710955981,3087441.322151024,-0.06562298187156163,OFCpost
dmPFC,0.014464488927674712,-5.8202214715624025,3889422.062503148,-0.01125165001685656,0.014429018609013244,-4.856673706315216,3889432.3493475486,-0.009902025924079502,0.014363699006399666,-2.1550236322139926,3889451.2918960582,-0.002513533453365809,dmPFC
dlPFC,0.013676157073654993,-9.041622267484655,4101072.6269836295,-0.01722742049227465,0.013590874053498125,-7.5519927957575534,4101097.3397542583,-0.014885964469651377,0.013495022502562404,-5.408898841820623,4101125.1124563916,-0.008611733764952305,dlPFC
MFG,0.015083153361455603,-14.951824027491789,4050363.4177371077,-0.028115472472526663,0.014918903481241252,-13.261342715024325,4050411.0791001916,-0.025426731906966128,0.014765392700757607,-11.45871315898463,4050455.6170509513,-0.019771444478377063,MFG
IFG,0.015537182750793632,-10.986828526973374,3788564.4834260363,-0.020861580757587917,0.01544119988834558,-9.635079226347676,3788592.3491533333,-0.018804006460832724,0.015296489178975192,-7.128651925522204,3788634.3564054184,-0.011707157627530102,IFG
