,value,choice,choice_prob
rACC,-0.0527911602866,0.0915264762579,0.0317130654601
dACC,-0.0392706830333,0.0972903564269,0.0470827836037
vlPFC,-0.0713394173019,0.0838297183223,0.019587175738
vmPFC,-0.0861612136528,0.0863281219407,0.0196667885709
OFCant,-0.108023956706,0.0875144843677,0.00292615984801
OFClat,-0.110988339487,0.0826799641825,-0.00910030593209
OFCmed,-0.0820446938265,0.10071035364,0.0229427701535
OFCpost,-0.0578037848935,0.0975263486566,0.0358974654389
dmPFC,0.0138376426267,0.0877022950145,0.0465000243513
dlPFC,0.0105469338715,0.0882847436178,0.0431766952844
MFG,-0.00684811084317,0.0849729897226,0.0373947615473
IFG,0.00553409260098,0.0809469947052,0.0508096573976
