,Divisive,RW Update,ROI
rACC,0.071218884137,0.00723499290881,rACC
dACC,0.0795349280819,0.0151217411292,dACC
vlPFC,0.0506343291831,0.0150237193363,vlPFC
vmPFC,0.0707001852315,0.00648803879518,vmPFC
OFCant,0.0447267157206,0.0223572877761,OFCant
OFClat,0.028933006121,0.0167610339302,OFClat
OFCmed,0.0680615491225,0.0205445197719,OFCmed
OFCpost,0.0650889539504,0.0234415689912,OFCpost
dmPFC,0.0630485897495,-0.00703663488463,dmPFC
dlPFC,0.0587403948314,-0.00529875451214,dlPFC
MFG,0.0568772169758,-0.00119255259391,MFG
IFG,0.063387790452,0.00464976720815,IFG
