,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0212879622303,-25.3741205769,3442546.79426,0.0370038133612,72.9303088937,3437919.88919,0.0325074908502,-62.9826578711,3439262.8817,0.025613677299,-43.7787460803,3441292.27583,rACC
dACC,0.0250063596648,-20.6916815981,3334949.66024,0.0487250946786,86.9787371737,3327910.45206,0.0332744832845,-53.6408074078,3332527.05652,0.0256965175915,-25.1378860813,3334758.82935,dACC
vlPFC,0.0213595949251,-39.8100805625,3564828.92913,0.0641458336549,121.344918096,3552051.3241,0.0207312636259,-37.4358147909,3565023.94461,0.0238862041555,-48.2677415336,3564101.61321,vlPFC
vmPFC,0.0276525808496,-45.7869194405,3315309.38194,0.0605566741824,110.366087022,3305469.73239,0.0317783959745,-57.6569452953,3314105.5751,0.0322578714132,-58.8861713473,3313963.99692,vmPFC
OFCant,0.0239461237301,-47.756388687,3350836.7357,0.106636411241,170.138956076,3325534.50223,0.0190227550606,-28.9094137685,3352286.4108,0.0289016236345,-61.2523374087,3349393.45735,OFCant
OFClat,0.0215151318398,-48.3637839729,3272246.96703,0.0919149326306,157.094213399,3250905.3463,0.0149133717152,-20.2216076485,3274180.47899,0.0256974377762,-59.8081554962,3271034.22785,OFClat
OFCmed,0.0295241296106,-45.5004636372,3041275.32304,0.0748172995358,127.138225116,3027614.32495,0.0299530420503,-46.8891408771,3041160.53561,0.0333859432686,-56.7580296875,3040147.24196,OFCmed
OFCpost,0.0276512283418,-39.7763016474,3087224.40081,0.0587425023617,105.239969303,3077935.77812,0.0280710542986,-41.3195234607,3087112.52895,0.0300303579269,-47.8340228471,3086535.75915,OFCpost
dmPFC,0.014441722937,-5.4103717171,3889451.79119,0.0397593398404,86.9821533468,3882013.44236,0.0289499258814,-65.582435522,3885224.53553,0.0145282777166,-7.44167456348,3889438.25133,dmPFC
dlPFC,0.0136239274259,-8.28327964216,4101110.88823,0.0417520132843,91.9806024538,4092841.71701,0.0273839638966,-64.1419800379,4097107.12164,0.013937520428,-12.6701428583,4101031.56678,dlPFC
MFG,0.0149710112604,-13.8922122999,4050419.08575,0.0474249970081,99.6860806268,4040843.37966,0.0260198828138,-58.6389493544,4047206.51366,0.0157962883773,-20.8283889755,4050191.08022,MFG
IFG,0.0155027944903,-10.6171284533,3788597.59355,0.0366830571868,79.9964171036,3782381.34869,0.0262409161395,-57.1562241039,3785474.49759,0.015528113945,-11.003528883,3788601.80571,IFG
