,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0221816999511,-30.0944442987,3442285.66791,rACC
dACC,0.025507340362,-23.985476325,3334802.75815,dACC
vlPFC,0.022077233396,-42.3762918028,3564619.25781,vlPFC
vmPFC,0.0288940142739,-49.6437647075,3314944.22755,vmPFC
OFCant,0.0248771929034,-50.5544829709,3350563.95568,OFCant
OFClat,0.0223542229279,-50.8564079871,3272001.75688,OFClat
OFCmed,0.0305799310982,-48.8245137094,3040964.20081,OFCmed
OFCpost,0.0283356060433,-42.244293065,3087023.15639,OFCpost
dmPFC,0.0145287072748,-7.38260989023,3889426.56364,dmPFC
dlPFC,0.0138346854055,-11.3890684564,4101049.81019,dlPFC
MFG,0.0153555319748,-17.4552515879,4050307.48871,MFG
IFG,0.0157033432536,-13.0759823084,3788539.36353,IFG
