,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.02510320361,-42.0347682724,3441453.54024,rACC
dACC,0.0255259050065,-24.1404893734,3334820.43921,dACC
vlPFC,0.020365039336,-35.9871000731,3565142.37904,vlPFC
vmPFC,0.0288326951177,-49.4804857123,3314985.40108,vmPFC
OFCant,0.0232177569497,-45.4737043334,3351073.07384,OFCant
OFClat,0.0194729140773,-41.7241099263,3272866.01917,OFClat
OFCmed,0.0294037862882,-45.1288317448,3041333.89037,OFCmed
OFCpost,0.0271914628417,-38.0569865711,3087382.64364,OFCpost
dmPFC,0.0149524657181,-13.3971614849,3889326.75784,dmPFC
dlPFC,0.0142588645558,-15.9612108797,4100949.96893,dlPFC
MFG,0.0159577957816,-21.9500568013,4050155.73604,MFG
IFG,0.0156463912825,-12.507433482,3788579.02713,IFG
