,Divide Mean,Running Average,ROI
rACC,-0.047879774847,-0.0482803218756,rACC
dACC,-0.0358928669265,-0.0424895543053,dACC
vlPFC,-0.0744135424392,-0.0736139355025,vlPFC
vmPFC,-0.0849834628648,-0.0823792524713,vmPFC
OFCant,-0.0894526772986,-0.0847857182826,OFCant
OFClat,-0.0916157574797,-0.0867361937347,OFClat
OFCmed,-0.0827011229922,-0.0827098204441,OFCmed
OFCpost,-0.0717370598936,-0.0739772781889,OFCpost
dmPFC,-0.00805098730054,-0.0130860313946,dmPFC
dlPFC,-0.0140905429078,-0.0168708006284,dlPFC
MFG,-0.0250872032993,-0.0271708295373,MFG
IFG,-0.0175219594371,-0.0228927596708,IFG
