,Relative,Absolute
rACC,-0.0527911602866,-0.0650430222189
dACC,-0.0392706830333,-0.0538016509645
vlPFC,-0.0713394173019,-0.0826213388077
vmPFC,-0.0861612136528,-0.0991254698588
OFCant,-0.108023956706,-0.118554940515
OFClat,-0.110988339487,-0.119762044288
OFCmed,-0.0820446938265,-0.0959084275361
OFCpost,-0.0578037848935,-0.0714135357667
dmPFC,0.0138376426267,0.00468200051716
dlPFC,0.0105469338715,0.00116580292969
MFG,-0.00684811084317,-0.0163905464683
IFG,0.00553409260098,-0.00533587972782
V1,-0.0605344288624,-0.0724550667683
Fusiform,-0.0704184806143,-0.0821810857688
