,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0191326690222,-3.79389246575,3443175.5339,0.0102986302529,0.0197815966086,14.3046179732,3442997.93808,0.0451871857559,rACC
dACC,0.0236222743279,-4.72982874727,3335355.12226,0.0108292218886,0.0243121181812,15.0156833257,3335164.67039,0.0488858903334,dACC
vlPFC,0.0162204415326,-9.13687577389,3566325.94977,0.000304146163057,0.0164287635984,12.0431488865,3566276.98148,0.040901372174,vlPFC
vmPFC,0.0206443773252,-6.01210823864,3317362.06549,0.00670887538464,0.0211637150576,13.7408421783,3317222.0207,0.0446517140831,vmPFC
OFCant,0.0161823707311,-2.67484914688,3353101.2421,0.0125932845337,0.0175542848382,20.181435164,3352713.95255,0.0562504681566,OFCant
OFClat,0.0137167347773,-7.78717165032,3274515.90952,0.00248710793502,0.0142184500436,14.3923317906,3274382.03951,0.0449354881601,OFClat
OFCmed,0.0225115810184,-2.22886441121,3043333.22148,0.0152995028485,0.0238781998251,20.152805226,3042944.89811,0.0581446629154,OFCmed
OFCpost,0.0224504317677,-7.28813338992,3088749.10676,0.0064770177126,0.0230937135607,15.5679367872,3088572.52057,0.05028011179,OFCpost
dmPFC,0.0148376760562,-12.0066187506,3889336.93725,-0.00648520265712,0.0144285223519,5.14233696578,3889467.18258,0.0266150432618,dmPFC
dlPFC,0.0137269287401,-9.92316768796,4101081.03989,-0.00320957051291,0.0135965755367,7.85401941897,4101130.377,0.0309889455692,dlPFC
MFG,0.0146273725494,-9.6566106411,4050518.78101,-0.00199842499292,0.0146574911655,10.1483912268,4050521.60759,0.0359711792462,MFG
IFG,0.0154893030526,-10.430968708,3788601.51041,-0.00322653184144,0.0154417396276,9.79757607052,3788626.88178,0.0355243016931,IFG
