,MC,MC by day,RW Update,RW Update by day,ROI
rACC,-5.9864371337,72.9303088937,-2.71195122966,20.2472181341,rACC
dACC,-5.81115799958,86.9787371737,0.702750186333,24.0426487168,dACC
vlPFC,-7.64197998225,121.344918096,1.52340090278,19.8295068319,vlPFC
vmPFC,-5.64502004536,110.366087022,-3.29032456111,21.0975831999,vmPFC
OFCant,-3.08011608364,170.138956076,5.31276644,27.681701799,OFCant
OFClat,-4.83255739974,157.094213399,2.50246091222,21.8018942006,OFClat
OFCmed,-3.38669705016,127.138225116,3.67390786958,29.8237871031,OFCmed
OFCpost,-5.73636423015,105.239969303,5.05969168527,26.1795115581,OFCpost
dmPFC,-14.2300646876,86.9821533468,-9.81691943996,11.8736332094,dmPFC
dlPFC,-14.0709388108,91.9806024538,-8.66258633205,13.6520956534,dlPFC
MFG,-12.6738001786,99.6860806268,-6.72645695021,16.1891307729,MFG
IFG,-12.0432880986,79.9964171036,-3.62007211628,17.5291914781,IFG
