Day,fMRI Run,Trial Categ,Stimulus Value,Item 1 Value,Item 2 Value
1,1,1,9,8,4
1,1,1,3,1,5
1,1,1,4,1,6
1,1,1,7,7,7
1,1,0,6,6,-1
1,1,1,7,4,5
1,1,1,9,7,6
1,1,1,6,4,1
1,1,1,7,5,8
1,1,1,5,7,7
1,1,0,3,3,-1
1,1,1,12,5,5
1,1,1,5,4,2
1,1,1,5,4,7
1,1,0,7,7,-1
1,1,0,4,4,-1
1,1,1,9,5,3
1,1,1,10,7,3
1,1,0,6,6,-1
1,1,1,5,7,1
1,1,1,3,5,4
1,1,0,1,1,-1
1,1,1,4,6,2
1,1,1,5,4,5
1,1,1,6,6,7
1,1,1,7,5,4
1,1,1,12,6,7
1,1,1,10,6,5
1,1,0,1,1,-1
1,1,1,5,3,2
1,1,0,4,4,-1
1,1,0,7,7,-1
1,1,1,3,4,4
1,1,1,12,6,7
1,1,0,5,5,-1
1,1,0,8,8,-1
1,1,1,7,1,5
1,1,0,5,5,-1
1,1,1,6,4,3
1,1,0,5,5,-1
1,1,1,6,5,7
1,1,1,4,3,4
1,1,1,9,5,7
1,1,0,7,7,-1
1,1,0,5,5,-1
1,1,1,3,4,4
1,1,1,6,7,1
1,1,1,5,8,1
1,1,1,7,4,4
1,1,0,4,4,-1
1,1,1,3,1,2
1,1,0,2,2,-1
1,1,1,4,2,4
1,1,1,5,5,5
1,1,1,10,6,8
1,1,1,9,6,7
1,1,0,4,4,-1
1,1,1,6,4,5
1,1,0,7,7,-1
1,1,1,4,5,1
1,1,0,2,2,-1
1,2,0,7,7,-1
1,2,1,5,4,2
1,2,0,4,4,-1
1,2,1,3,4,7
1,2,1,4,2,1
1,2,1,5,5,1
1,2,1,3,4,4
1,2,1,7,7,8
1,2,0,6,6,-1
1,2,1,6,6,6
1,2,1,3,1,4
1,2,0,4,4,-1
1,2,1,5,5,4
1,2,1,4,3,4
1,2,1,5,4,6
1,2,1,6,6,4
1,2,1,8,6,5
1,2,1,2,2,2
