,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0225134902089,42.3428667775,2898226.53013,rACC
dACC,0.022447426226,41.0129501291,2869784.82974,dACC
vlPFC,0.018122367281,38.914251439,3162212.80746,vlPFC
vmPFC,0.0256347623707,50.0445855824,2997147.4481,vmPFC
OFCant,0.02225432633,42.5587892274,2962474.12826,OFCant
OFClat,0.0161185932366,38.9668456407,2898744.67825,OFClat
OFCmed,0.0237326369227,39.0348627684,2748984.59466,OFCmed
OFCpost,0.0200484280424,40.7522753879,2979038.29086,OFCpost
dmPFC,0.0178457768315,41.2586098039,3404508.30797,dmPFC
dlPFC,0.0181717892117,40.4445770493,3536537.10537,dlPFC
MFG,0.0150983902258,35.0161162193,3558326.23856,MFG
IFG,0.0168686439835,33.9588002029,3265248.92555,IFG
