,value,choice,choice_prob
rACC,0.0447090113868,0.0134358461741,0.0154226617325
dACC,0.046767442291,0.0124557035541,0.0184548309774
vlPFC,0.0317174646904,0.0104108531763,0.00847590756324
vmPFC,0.0352468007534,0.0129710151293,0.008767002193
OFCant,0.0362464214663,0.0122658743088,0.0111935599757
OFClat,0.0257348159145,0.00844456082194,0.00562310421459
OFCmed,0.0492388518852,0.0138149181494,0.0208663868111
OFCpost,0.0431938484468,0.00996619177217,0.0175760590088
dmPFC,0.0269746948241,0.0101923608844,0.00380605276197
dlPFC,0.0291841766799,0.00996858584177,0.00584636699234
MFG,0.0254669275722,0.00842455833065,0.0039341757291
IFG,0.0384640531705,0.0128374158362,0.0145839509111
