,Divisive,ROI
rACC,39.2640347951,rACC
dACC,40.8307716929,dACC
vlPFC,27.584126496,vlPFC
vmPFC,34.7862660982,vmPFC
OFCant,31.5945130399,OFCant
OFClat,21.8361232594,OFClat
OFCmed,41.8373480897,OFCmed
OFCpost,35.3620566797,OFCpost
dmPFC,26.1133620082,dmPFC
dlPFC,28.9839023604,dlPFC
MFG,25.4030995773,MFG
IFG,33.1633851701,IFG
