,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0165649769575,-14.5478987904,2899776.82221,0.0167609836739,16.2288164062,2899725.13543,0.0214835603266,38.949983008,2898488.1376,0.0221672883963,41.2246505374,2898306.88763,rACC
dACC,0.0169404275193,-14.7670468261,2871218.58216,0.0169431816794,14.7916444392,2871217.85569,0.0217744680919,38.7494115591,2869951.81106,0.0225322575916,41.275965265,2869750.86072,dACC
vlPFC,0.0132457124638,-14.9446450962,3163474.56873,0.0128770175906,11.2431882285,3163571.43841,0.0190500723846,41.951993784,3161956.22739,0.0197850811719,44.2235703073,3161761.86182,vlPFC
vmPFC,0.0168552689633,-12.8274118623,2999450.5143,0.0170887204809,15.038882508,2999388.93402,0.0238282444316,44.9327667081,2997616.30063,0.0242496928285,46.1716691153,2997504.32518,vmPFC
OFCant,0.0158791335642,-10.8515246148,2964136.45433,0.0161368261614,13.6272543879,2964068.54628,0.0222478477997,42.5266203929,2962464.38068,0.0227581521241,44.1005812909,2962329.00997,OFCant
OFClat,0.0112391217717,-15.1423618875,2900004.56825,0.01077322045,10.3469441336,2900126.72325,0.0169600943246,41.7213843984,2898511.3374,0.017599860109,43.7112197006,2898342.52587,OFClat
OFCmed,0.0186751453028,-13.3229830922,2750301.50892,0.0191251181431,17.2202280323,2750182.58096,0.0232698112998,37.4048558329,2749096.03026,0.0238089954512,39.2825203888,2748952.84665,OFCmed
OFCpost,0.0146456830348,-15.0958887139,2980441.05332,0.0148431643325,16.7305099179,2980389.0791,0.0209859785719,43.6995312349,2978778.62112,0.0219528445601,46.5604176868,2978522.40715,OFCpost
dmPFC,0.0119393033173,-11.8338788167,3406040.11319,0.0119508168496,11.9609317729,3406037.09158,0.0181107548587,42.0915851728,3404426.87421,0.0186737774457,43.8347793876,3404278.14415,dmPFC
dlPFC,0.0124604686128,-11.1656180498,3538018.18772,0.0126171091953,12.8773725563,3537977.05427,0.0181062726562,40.2162492235,3536542.94227,0.0186016275778,41.8215633608,3536412.09265,dlPFC
MFG,0.0109008118473,-10.8856019511,3559406.09764,0.0108927346187,10.7878575975,3559408.21518,0.0155932610269,36.8251565857,3558184.45045,0.0161160038455,38.6597999291,3558046.71691,MFG
IFG,0.0132440736996,-13.9462190147,3266180.23169,0.0131015906576,12.5312655441,3266217.67144,0.0172153392301,35.2714462884,3265146.00137,0.0177317870958,37.1626340451,3265009.70222,IFG
