,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.015803242968168263,2.9645083802310457,2899954.6614732626,0.04491471945546112,rACC
dACC,0.016170515953971565,3.602155702613667,2871398.653423334,0.04648718674861101,dACC
vlPFC,0.012403413212362047,-0.02630368869306442,3163672.8871138464,0.034927044177344276,vlPFC
vmPFC,0.016270865418811065,2.8986937597092237,2999581.6738122343,0.04540145983540963,vmPFC
OFCant,0.015454714272834513,1.9812463078891929,2964225.3285555015,0.04268829967090059,OFCant
OFClat,0.010372431887797351,0.046451608050451,2900208.8287970503,0.032031521659022795,OFClat
OFCmed,0.018170729790522033,6.495750879168069,2750411.829814658,0.054137224016725126,OFCmed
OFCpost,0.01394481851073115,6.435781598287448,2980602.4951892006,0.04868900496487104,OFCpost
dmPFC,0.011413349673311868,-0.10893355427106552,3406155.175390418,0.033328116260080906,dmPFC
dlPFC,0.011994489709390654,-0.5630373754242642,3538117.5826556464,0.03331314760159541,dlPFC
MFG,0.010485399722342192,-2.754764619654126,3559492.048905621,0.026948706426292098,MFG
IFG,0.012511596529447777,-0.1222972923373157,3266349.7130779778,0.0349469848698077,IFG
