,MC,MC by day,RW Update,RW Update by day,ROI
rACC,15.1199192709,16.2288164062,38.949983008,41.2246505374,rACC
dACC,14.4725041182,14.7916444392,38.7494115591,41.275965265,dACC
vlPFC,9.4743088079,11.2431882285,41.951993784,44.2235703073,vlPFC
vmPFC,14.4551401801,15.038882508,44.9327667081,46.1716691153,vmPFC
OFCant,12.5332231124,13.6272543879,42.5266203929,44.1005812909,OFCant
OFClat,8.44977784358,10.3469441336,41.7213843984,43.7112197006,OFClat
OFCmed,16.9423746832,17.2202280323,37.4048558329,39.2825203888,OFCmed
OFCpost,16.2308794312,16.7305099179,43.6995312349,46.5604176868,OFCpost
dmPFC,10.5604969982,11.9609317729,42.0915851728,43.8347793876,dmPFC
dlPFC,11.1882288671,12.8773725563,40.2162492235,41.8215633608,dlPFC
MFG,8.24321350159,10.7878575975,36.8251565857,38.6597999291,MFG
IFG,10.4070540367,12.5312655441,35.2714462884,37.1626340451,IFG
