,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0215794797998,39.2640347951,2898451.25214,rACC
dACC,0.0223991149215,40.8307716929,2869774.71299,dACC
vlPFC,0.0152853175269,27.584126496,3162938.03482,vlPFC
vmPFC,0.0208010621875,34.7862660982,2998407.71501,vmPFC
OFCant,0.0192079184683,31.5945130399,2963257.86946,OFCant
OFClat,0.0121812504558,21.8361232594,2899757.37487,OFClat
OFCmed,0.0245877530153,41.8373480897,2748734.43749,OFCmed
OFCpost,0.0185129286389,35.3620566797,2979421.34993,OFCpost
dmPFC,0.0139986676707,26.1133620082,3405499.09304,dmPFC
dlPFC,0.015176241753,28.9839023604,3537304.10629,dlPFC
MFG,0.0129053809823,25.4030995773,3558880.04096,MFG
IFG,0.0166746563004,33.1633851701,3265277.1541,IFG
