,Divisive,RW Update,ROI
rACC,0.128509002753,0.138879735812,rACC
dACC,0.130248349934,0.139528503957,dACC
vlPFC,0.113096723021,0.134278032646,vlPFC
vmPFC,0.12960163201,0.148777572795,vmPFC
OFCant,0.126277182827,0.143343699117,OFCant
OFClat,0.102927993778,0.127822951044,OFClat
OFCmed,0.137157628421,0.142194936228,OFCmed
OFCpost,0.119334293946,0.140748891675,OFCpost
dmPFC,0.108128024614,0.131521175184,dmPFC
dlPFC,0.111474248298,0.130579528615,dlPFC
MFG,0.104171266541,0.120989766219,MFG
IFG,0.114331198384,0.124621572624,IFG
