,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.02157947979984376,39.26403479514375,2898451.252143597,0.09112475380424202,rACC
dACC,0.022399114921530683,40.830771692908,2869774.7129925713,0.09420303778425343,dACC
vlPFC,0.015285317526914866,27.584126496025807,3162938.0348226344,0.06698926487723787,vlPFC
vmPFC,0.020801062187467023,34.78626609818863,2998407.7150129704,0.08280873479916184,vmPFC
OFCant,0.019207918468319374,31.594513039929215,2963257.869460429,0.07624179812863681,OFCant
OFClat,0.012181250455845838,21.836123259420187,2899757.374872883,0.05472694237308173,OFClat
OFCmed,0.024587753015277047,41.837348089680304,2748734.4374863845,0.09701144958005602,OFCmed
OFCpost,0.018512928638919512,35.36205667966989,2979421.3499291493,0.08250236281049636,OFCpost
dmPFC,0.01399866767067559,26.113362008171826,3405499.093042761,0.0636163163018034,dmPFC
dlPFC,0.015176241753000475,28.983902360371292,3537304.1062945276,0.06940215900813525,dlPFC
MFG,0.012905380982306758,25.403099577333283,3558880.0409613512,0.06159590689164188,MFG
IFG,0.016674656300414425,33.16338517011197,3265277.154102071,0.07792661748181692,IFG
