,Divisive,RW Update,MC,ROI
rACC,0.128509002753,0.138879735812,0.0517506032454,rACC
dACC,0.130248349934,0.139528503957,0.050693821718,dACC
vlPFC,0.113096723021,0.134278032646,0.0383627059144,vlPFC
vmPFC,0.12960163201,0.148777572795,0.0508497499458,vmPFC
OFCant,0.126277182827,0.143343699117,0.0465487783807,OFCant
OFClat,0.102927993778,0.127822951044,0.0346286716768,OFClat
OFCmed,0.137157628421,0.142194936228,0.0567568133126,OFCmed
OFCpost,0.119334293946,0.140748891675,0.0522416142502,OFCpost
dmPFC,0.108128024614,0.131521175184,0.039612141461,dmPFC
dlPFC,0.111474248298,0.130579528615,0.0412542851296,dlPFC
MFG,0.104171266541,0.120989766219,0.0342630712927,MFG
IFG,0.114331198384,0.124621572624,0.0403573375362,IFG
