,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0197897348924,32.6404538225,2898925.14435,0.0797475778336,0.0215833076929,39.2898318806,2898461.70339,0.0930048419712,rACC
dACC,0.0194867863549,29.866789161,2870546.04896,0.0745309287139,0.0214876748832,37.7502093333,2870027.82218,0.0901614015922,dACC
vlPFC,0.0147681118438,24.9872549136,3163074.19488,0.0631685021063,0.0158736584031,30.2879504703,3162794.5264,0.0738379988399,vlPFC
vmPFC,0.0200751900572,31.8922148957,2998599.86447,0.0785998819574,0.0219040144056,38.7924596303,2998126.9396,0.0923494042145,vmPFC
OFCant,0.0182984093873,27.5146667721,2963498.21701,0.0697233535535,0.0199022501979,34.4037959663,2963085.7005,0.083466179405,OFCant
OFClat,0.012069303053,21.151351248,2899786.75969,0.0544750353615,0.0129591293357,26.125598834,2899564.56493,0.0644960032387,OFClat
OFCmed,0.0215277049407,30.5607881553,2749546.65172,0.0768613980619,0.0236406193971,38.7057262371,2748997.56842,0.0930105235737,OFCmed
OFCpost,0.0166299289662,27.4146256537,2979918.35439,0.0684535002013,0.0181499837369,33.987732481,2979528.68654,0.0815583938873,OFCpost
dmPFC,0.0142790886231,27.4930561691,3405425.33564,0.067377402034,0.0155229595902,32.9461493059,3405109.38046,0.078307437387,dmPFC
dlPFC,0.0153305862847,29.6789979228,3537263.46405,0.0718645520192,0.0168474016911,35.8225750637,3536875.18032,0.0841090083023,dlPFC
MFG,0.013017934934,25.9800161964,3558850.47189,0.0637602613115,0.0143218928407,31.9356728927,3558519.1286,0.0756365878352,MFG
IFG,0.015436380563,27.7904282119,3265603.48464,0.0687814575521,0.0170263114638,34.5538968447,3265195.87103,0.0822475997418,IFG
