,Relative,Absolute
rACC,0.0447090113868,0.0482195545705
dACC,0.046767442291,0.0503548076963
vlPFC,0.0317174646904,0.0443318024669
vmPFC,0.0352468007534,0.0515735319664
OFCant,0.0362464214663,0.0530650284234
OFClat,0.0257348159145,0.0415827955181
OFCmed,0.0492388518852,0.0601697393261
OFCpost,0.0431938484468,0.0556834128061
dmPFC,0.0269746948241,0.040848919812
dlPFC,0.0291841766799,0.0423940706961
MFG,0.0254669275722,0.0378100271814
IFG,0.0384640531705,0.0453399586919
V1,0.00330016059962,0.0329153906112
Fusiform,0.0390258408019,0.0481875814523
