,Divisive,ROI
rACC,37.7084715135,rACC
dACC,38.9348652709,dACC
vlPFC,26.7125152621,vlPFC
vmPFC,33.9742189045,vmPFC
OFCant,30.742367686,OFCant
OFClat,21.479581486,OFClat
OFCmed,40.4730909022,OFCmed
OFCpost,35.4885664666,OFCpost
dmPFC,25.9979190268,dmPFC
dlPFC,28.3871066361,dlPFC
MFG,24.4829185384,MFG
IFG,31.3157623344,IFG
