,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0211301437084,37.7084715135,2898570.30969,rACC
dACC,0.0218322752754,38.9348652709,2869925.02153,dACC
vlPFC,0.0151060877324,26.7125152621,3162985.22712,vlPFC
vmPFC,0.0205911393488,33.9742189045,2998463.29944,vmPFC
OFCant,0.0190077235043,30.742367686,2963310.79226,OFCant
OFClat,0.0121225206588,21.479581486,2899772.79114,OFClat
OFCmed,0.0241679921707,40.4730909022,2748846.00331,OFCmed
OFCpost,0.0185466919922,35.4885664666,2979412.42963,OFCpost
dmPFC,0.01397585145,25.9979190268,3405505.09333,dmPFC
dlPFC,0.0150466054536,28.3871066361,3537338.2374,dlPFC
MFG,0.0127310375445,24.4829185384,3558925.8361,MFG
IFG,0.0162245781676,31.3157623344,3265395.81352,IFG
