,Divide Mean,Running Average,ROI
rACC,0.0880056151344,0.049720645591,rACC
dACC,0.090431470406,0.0497360957373,dACC
vlPFC,0.0651839362478,0.0398567906367,vlPFC
vmPFC,0.0811090302228,0.0496183786694,vmPFC
OFCant,0.0744642501694,0.0473602426462,OFCant
OFClat,0.0539187153598,0.0368839716137,OFClat
OFCmed,0.0942543714557,0.0567742630381,OFCmed
OFCpost,0.0826032072465,0.050875397094,OFCpost
dmPFC,0.0632691817155,0.0386692226697,dmPFC
dlPFC,0.0681252800726,0.0388981914547,dlPFC
MFG,0.0597004716591,0.033135065723,MFG
IFG,0.0742532751656,0.0398695230118,IFG
